วันเดือนปี,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,ปริมาณ,% เปลี่ยน
13-May-21,49704.60,49398.20,51337.30,46331.10,236.71K,0.65%
14-May-21,49839.80,49704.90,51459.20,48874.00,118.84K,0.27%
15-May-21,46708.80,49839.10,50640.90,46650.20,131.91K,-6.28%
16-May-21,46426.40,46729.30,49764.30,43920.80,180.07K,-0.60%
17-May-21,43541.30,46424.20,46545.40,42201.50,274.76K,-6.21%
18-May-21,42897.30,43538.50,45770.90,42293.90,154.96K,-1.48%
19-May-21,36720.50,42898.30,43516.60,30261.70,607.10K,-14.40%
20-May-21,40717.20,36706.80,42425.90,35010.40,269.75K,10.88%
21-May-21,37297.40,40611.20,42108.30,33592.30,315.50K,-8.40%
22-May-21,37448.30,37291.00,38776.00,35314.90,185.83K,0.40%
23-May-21,34679.70,37446.80,38248.70,31192.40,325.73K,-7.39%
24-May-21,38750.60,34720.30,39851.70,34474.60,244.88K,11.74%
25-May-21,38378.30,38753.60,39740.80,36540.70,163.01K,-0.96%
26-May-21,39249.20,38375.70,40750.00,37847.00,153.80K,2.27%
27-May-21,38417.30,39249.00,40322.20,37190.80,122.93K,-2.12%
28-May-21,35662.50,38543.20,38844.10,34772.40,199.58K,-7.17%
29-May-21,34584.60,35664.50,37227.10,33664.20,160.43K,-3.02%
30-May-21,35652.80,34589.30,36388.60,33441.00,104.18K,3.09%
31-May-21,37298.60,35644.00,37480.70,34213.20,131.70K,4.62%
1-Jun-21,36687.60,37294.30,37850.30,35742.70,113.48K,-1.64%
2-Jun-21,37555.80,36687.70,38199.90,35981.10,96.89K,2.37%
3-Jun-21,39187.30,37555.70,39462.30,37193.60,106.44K,4.34%
4-Jun-21,36851.30,39191.40,39255.40,35659.90,127.71K,-5.96%
5-Jun-21,35520.00,36841.20,37887.60,34832.00,101.48K,-3.61%
6-Jun-21,35815.40,35518.70,36434.00,35265.30,62.20K,0.83%
7-Jun-21,33578.00,35815.40,36754.60,33410.10,119.50K,-6.25%
8-Jun-21,33382.90,33574.60,34047.80,31158.10,193.54K,-0.58%
9-Jun-21,37332.20,33385.50,37517.60,32428.60,209.82K,11.83%
10-Jun-21,36649.40,37375.20,38340.80,35824.00,154.32K,-1.83%
11-Jun-21,37314.60,36654.30,37641.10,36003.30,109.15K,1.81%
12-Jun-21,35467.50,37334.40,37437.30,34703.30,87.73K,-4.95%
13-Jun-21,39022.90,35467.50,39321.60,34827.00,123.32K,10.02%
14-Jun-21,40529.40,39024.10,40970.40,38769.90,157.35K,3.86%
15-Jun-21,40156.10,40522.50,41318.00,39589.90,117.55K,-0.92%
16-Jun-21,38336.00,40148.10,40494.40,38156.40,123.52K,-4.53%
17-Jun-21,38052.00,38337.80,39529.90,37425.30,109.58K,-0.74%
18-Jun-21,35749.40,38045.50,38166.00,35198.50,102.84K,-6.05%
19-Jun-21,35513.40,35770.00,36357.30,34845.50,105.46K,-0.66%
20-Jun-21,35595.80,35510.90,36097.90,33378.00,137.48K,0.23%
21-Jun-21,31692.00,35597.90,35708.40,31284.10,256.87K,-10.97%
22-Jun-21,32496.40,31682.70,33272.50,28901.80,309.65K,2.54%
23-Jun-21,33674.30,32498.30,34784.30,31736.50,173.34K,3.62%
24-Jun-21,34665.80,33678.10,35249.90,32356.70,119.25K,2.94%
25-Jun-21,31594.00,34660.50,35490.90,31337.90,193.43K,-8.86%
26-Jun-21,32243.40,31592.10,32643.00,30206.90,156.67K,2.06%
27-Jun-21,34678.50,32247.10,34685.50,32041.70,148.80K,7.55%
28-Jun-21,34475.90,34682.20,35231.20,33944.90,112.00K,-0.58%
29-Jun-21,35834.70,34477.30,36590.30,34247.60,97.27K,3.94%
30-Jun-21,35026.90,35832.60,36089.50,34126.60,107.07K,-2.25%
1-Jul-21,33543.60,35030.70,35032.70,32839.20,27.41K,-4.23%
2-Jul-21,33813.40,33542.20,33925.90,32734.60,78.93K,0.80%
3-Jul-21,34742.80,33814.20,34909.80,33363.30,55.69K,2.75%
4-Jul-21,35298.20,34742.80,35957.60,34740.10,56.13K,1.60%
5-Jul-21,33687.80,35297.00,35300.50,33164.10,88.36K,-4.56%
6-Jul-21,34225.60,33688.50,35062.00,33581.70,83.63K,1.60%
7-Jul-21,33867.80,34228.70,35036.60,33801.30,72.03K,-1.05%
8-Jul-21,32866.30,33859.40,33923.20,32146.90,108.09K,-2.96%
9-Jul-21,33797.40,32866.30,34079.20,32367.00,67.14K,2.83%
10-Jul-21,33510.60,33797.70,34221.00,33056.80,50.94K,-0.85%
11-Jul-21,34227.70,33510.80,34580.60,33319.80,35.72K,2.14%
12-Jul-21,33113.00,34228.30,34598.00,32662.80,63.24K,-3.26%
13-Jul-21,32728.10,33106.10,33307.70,32259.50,60.04K,-1.16%
14-Jul-21,32820.70,32727.80,33051.90,31611.20,69.56K,0.28%
15-Jul-21,31840.50,32820.50,33157.00,31175.80,76.95K,-2.99%
16-Jul-21,31394.00,31842.30,32239.80,31062.20,70.48K,-1.40%
17-Jul-21,31518.60,31384.40,31914.80,31207.80,58.06K,0.40%
18-Jul-21,31785.40,31517.90,32408.20,31220.60,57.01K,0.85%
19-Jul-21,30837.20,31782.90,31887.00,30478.20,77.48K,-2.98%
20-Jul-21,29793.80,30835.40,31040.80,29310.20,97.46K,-3.38%
21-Jul-21,32131.40,29794.70,32794.60,29519.30,118.34K,7.85%
22-Jul-21,32298.90,32131.70,32585.40,31729.40,64.87K,0.52%
23-Jul-21,33603.30,32297.90,33605.60,32041.10,66.15K,4.04%
24-Jul-21,33824.80,33600.50,33955.00,33412.90,67.14K,0.66%
25-Jul-21,35391.10,34392.50,35391.10,33881.30,65.10K,4.63%
26-Jul-21,37276.60,35392.30,40522.90,35236.70,177.63K,5.33%
27-Jul-21,39452.00,37294.30,39455.90,36427.40,100.24K,5.84%
28-Jul-21,40003.20,39450.40,40862.20,38883.80,148.92K,1.40%
29-Jul-21,40001.40,40009.00,40630.70,39340.80,75.30K,0.00%
30-Jul-21,42203.40,40001.10,42264.40,38358.40,98.45K,5.50%
31-Jul-21,41553.70,42201.40,42285.30,41066.40,44.65K,-1.54%
1-Aug-21,39878.30,41510.00,42565.00,39556.50,80.33K,-4.03%
2-Aug-21,39168.40,39869.80,40449.00,38692.50,74.81K,-1.78%
3-Aug-21,38130.30,39167.40,39766.60,37688.20,0.26K,-2.65%
4-Aug-21,39736.90,38188.40,39956.50,37556.00,79.22K,4.21%
5-Aug-21,40867.20,39734.40,41366.30,37365.40,130.60K,2.84%
6-Aug-21,42795.40,40868.40,43253.40,39905.40,111.93K,4.72%
7-Aug-21,44614.20,42784.70,44697.30,42611.00,112.84K,4.25%
8-Aug-21,43792.80,44584.90,45284.10,43314.40,105.25K,-1.84%
9-Aug-21,46284.30,43794.90,46460.70,42824.10,117.08K,5.69%
10-Aug-21,45593.80,46281.80,46663.40,44681.20,80.55K,-1.49%
11-Aug-21,45564.30,45593.20,46736.50,45367.90,75.43K,-0.06%
12-Aug-21,44403.40,45562.30,46213.80,43814.70,81.07K,-2.55%
13-Aug-21,47809.10,44404.00,47836.00,44242.40,75.27K,7.67%
14-Aug-21,47081.50,47809.60,48090.90,46117.20,64.29K,-1.52%
15-Aug-21,46991.30,47082.60,47344.10,45564.10,58.11K,-0.19%
16-Aug-21,45996.30,46991.60,48002.40,45672.10,2.41K,-2.12%
17-Aug-21,44691.60,45907.50,47140.60,44441.30,84.14K,-2.84%
18-Aug-21,44723.80,44691.10,46004.90,44230.00,22.36K,0.07%
19-Aug-21,46755.90,44725.90,47012.30,43986.70,77.92K,4.54%
20-Aug-21,49324.00,46756.70,49343.30,46646.80,83.19K,5.49%
21-Aug-21,48875.80,49330.00,49719.10,48293.50,18.20K,-0.91%
22-Aug-21,49254.50,48870.40,49480.30,48151.00,49.32K,0.77%
23-Aug-21,49539.70,49255.40,50498.80,49038.60,75.37K,0.58%
24-Aug-21,47714.70,49532.50,49847.40,47623.60,74.26K,-3.68%
25-Aug-21,48994.50,47707.40,49230.20,47163.30,63.54K,2.68%
26-Aug-21,46831.60,48994.40,49347.80,46360.40,73.79K,-4.41%
27-Aug-21,49064.30,46830.20,49142.00,46371.50,62.47K,4.77%
28-Aug-21,48897.10,49062.80,49289.40,48428.50,36.73K,-0.34%
29-Aug-21,48777.40,48899.70,49621.70,47870.10,47.62K,-0.24%
30-Aug-21,46992.70,48777.10,48886.00,46876.90,61.68K,-3.66%
31-Aug-21,47130.40,46989.10,48217.00,46709.30,71.48K,0.29%
1-Sep-21,48819.40,47129.20,49121.00,46533.10,74.38K,3.58%
2-Sep-21,49274.30,48817.80,50355.30,48612.90,80.21K,0.93%
3-Sep-21,49999.00,49269.50,51008.80,48377.30,88.08K,1.47%
4-Sep-21,49918.40,49999.30,50534.60,49461.40,48.14K,-0.16%
5-Sep-21,51768.60,49918.70,51878.20,49492.40,57.30K,3.71%
6-Sep-21,52672.10,51769.40,52726.20,51002.80,69.46K,1.75%
7-Sep-21,46779.60,52674.20,52885.30,43072.40,187.56K,-11.19%
8-Sep-21,46061.40,46774.10,47316.90,44493.70,100.48K,-1.54%
9-Sep-21,46385.60,46057.60,47305.70,45609.00,73.63K,0.70%
10-Sep-21,44842.80,46385.90,47021.60,44283.60,75.62K,-3.33%
11-Sep-21,45161.90,44844.90,45975.60,44766.60,41.58K,0.71%
12-Sep-21,46062.30,45162.60,46386.40,44755.20,44.52K,1.99%
13-Sep-21,44949.50,46060.80,46807.70,43463.20,96.15K,-2.42%
14-Sep-21,47077.50,44950.20,47247.60,44718.70,65.33K,4.73%
15-Sep-21,48130.60,47070.80,48436.50,46743.90,63.40K,2.24%
16-Sep-21,47748.00,48132.30,48480.60,47040.30,60.91K,-0.80%
17-Sep-21,47282.80,47748.20,48155.90,46788.80,50.16K,-0.97%
18-Sep-21,48306.70,47283.90,48761.00,47070.50,43.64K,2.17%
19-Sep-21,47238.70,48299.90,48341.90,46866.60,41.98K,-2.21%
20-Sep-21,42870.60,47240.80,47323.90,42547.10,77.96K,-9.25%
21-Sep-21,40651.30,43012.30,43619.30,39646.80,142.55K,-5.18%
22-Sep-21,43551.60,40660.80,43976.70,40585.70,93.98K,7.13%
23-Sep-21,44869.20,43550.70,44949.80,43090.10,74.54K,3.03%
24-Sep-21,42819.90,44867.40,45112.00,40908.50,128.88K,-4.57%
25-Sep-21,42686.80,42818.70,42959.30,41714.50,46.35K,-0.31%
26-Sep-21,43203.40,42685.80,43907.30,40786.60,69.91K,1.21%
27-Sep-21,42172.60,43200.90,44293.20,42143.90,54.12K,-2.39%
28-Sep-21,41022.30,42169.90,42758.80,40906.40,60.01K,-2.73%
29-Sep-21,41536.80,41023.10,42571.20,40815.00,48.21K,1.25%
30-Sep-21,43823.30,41534.50,44101.20,41416.70,64.32K,5.50%
1-Oct-21,48146.00,43824.40,48435.20,43292.90,94.66K,9.86%
2-Oct-21,47666.90,48147.20,48306.90,47451.70,39.82K,-1.00%
3-Oct-21,48200.10,47665.40,49165.20,47123.00,42.41K,1.12%
4-Oct-21,49227.30,48200.40,49481.70,46958.60,66.92K,2.13%
5-Oct-21,51469.30,49229.50,51872.40,49060.10,76.63K,4.55%
6-Oct-21,55323.20,51470.00,55676.10,50439.50,116.26K,7.49%
7-Oct-21,53783.90,55325.20,55325.60,53476.40,75.68K,-2.78%
8-Oct-21,53914.70,53785.50,55977.90,53659.30,64.05K,0.24%
9-Oct-21,54942.50,53924.10,55430.80,53711.70,64.65K,1.91%
10-Oct-21,54687.70,54942.50,56432.20,54100.80,104.43K,-0.46%
11-Oct-21,57477.30,54686.90,57814.10,54457.80,73.84K,5.10%
